name,url,remote_support,adaptive_support,duration_minutes,type
Automata - Fix (New),https://www.shl.com/solutions/products/product-catalog/view/automata-fix-new/,Yes,No,45,Technical
Core Java (Entry Level) (New),https://www.shl.com/solutions/products/product-catalog/view/core-java-entry-level-new/,Yes,Yes,30,Technical
Java 8 (New),https://www.shl.com/solutions/products/product-catalog/view/java-8-new/,Yes,Yes,40,Technical
Sales Representative Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-representative-solution/,Yes,No,60,Sales
Motivation Questionnaire MQM5,https://www.shl.com/solutions/products/product-catalog/view/motivation-questionnaire-mqm5/,Yes,No,50,Personality
Verify - Numerical Ability,https://www.shl.com/solutions/products/product-catalog/view/verify-numerical-ability/,Yes,Yes,30,Cognitive
SVAR - Spoken English (Indian Accent),https://www.shl.com/solutions/products/product-catalog/view/svar-spoken-english-indian-accent-new/,Yes,No,20,Communication
Search Engine Optimization (New),https://www.shl.com/solutions/products/product-catalog/view/search-engine-optimization-new/,Yes,No,30,Marketing
Administrative Professional - Short Form,https://www.shl.com/solutions/products/product-catalog/view/administrative-professional-short-form/,Yes,No,30,Administration
HTML5 (New),https://www.shl.com/solutions/products/product-catalog/view/html5-new/,Yes,Yes,35,Technical
CSS3 (New),https://www.shl.com/solutions/products/product-catalog/view/css3-new/,Yes,Yes,35,Technical
SQL Server (New),https://www.shl.com/solutions/products/product-catalog/view/sql-server-new/,Yes,Yes,40,Technical
Graduate 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/graduate-8-0-job-focused-assessment-4228/,Yes,Yes,60,General Aptitude
Manual Testing (New),https://www.shl.com/solutions/products/product-catalog/view/manual-testing-new/,Yes,No,30,Technical
Verify - Verbal Ability - Next Generation,https://www.shl.com/solutions/products/product-catalog/view/verify-verbal-ability-next-generation/,Yes,Yes,30,Cognitive
